ntaxa,rep,ils,ngt,m,avg_gtee,norm_output_error,output_hwcd
100,1,low,1000,10,0.038540816326530766,0.06666666666666667,16.0
200,5,high,100,10,0.4168686868686867,0.07804878048780488,32.0
100,12,high,1000,20,0.39562244897959287,0.16666666666666666,38.0
200,5,low,100,10,0.03803030303030301,0.01951219512195122,8.0
200,5,high,1000,10,0.42370202020202297,0.00975609756097561,4.0
200,4,low,100,10,0.03469696969696967,0.1206896551724138,56.0
100,9,high,1000,20,0.4763469387755121,0.0196078431372549,4.0
200,2,high,100,10,0.5371212121212126,0.25327510917030566,116.0
100,14,high,1000,20,0.3536938775510203,0.05405405405405406,12.0
200,4,high,1000,20,0.6422575757575744,0.1724137931034483,80.0
200,1,high,1000,10,0.5212121212121197,0.22406639004149378,108.0
100,7,high,1000,20,0.3789387755102051,0.00980392156862745,2.0
100,11,high,1000,20,0.4346938775510235,0.21052631578947367,48.0
200,2,low,100,10,0.03429292929292926,0.10043668122270742,46.0
200,20,high,100,10,0.4216666666666663,0.14953271028037382,64.0
200,4,high,100,20,0.6382828282828281,0.33620689655172414,156.0
200,20,low,1000,10,0.03470202020202073,0.03271028037383177,14.0
200,3,high,1000,10,0.44988888888889084,0.1504424778761062,68.0
200,19,high,1000,10,0.5358232323232297,0.04205607476635514,18.0
200,2,high,1000,10,0.5396060606060583,0.2096069868995633,96.0
200,4,low,1000,10,0.036742424242424805,0.08620689655172414,40.0
200,3,high,1000,20,0.4489646464646489,0.13274336283185842,60.0
200,2,low,1000,10,0.03304040404040451,0.12663755458515283,58.0
200,4,high,1000,10,0.6403636363636342,0.06896551724137931,32.0
100,5,low,1000,10,0.03190816326530623,0.0196078431372549,4.0
200,2,high,1000,20,0.5346717171717156,0.1615720524017467,74.0
100,6,high,1000,10,0.403581632653063,0.09649122807017543,22.0
100,8,high,1000,10,0.5116224489795911,0.11711711711711711,26.0
100,7,low,1000,10,0.034561224489796004,0.00980392156862745,2.0
50,11,low,100,20,0.031041666666666655,0.0,0.0
50,17,high,1000,20,0.495666666666667,0.038461538461538464,4.0
50,7,low,3000,20,0.028569444444444328,0.0,0.0
50,9,high,3000,10,0.4832291666666666,0.1206896551724138,14.0
200,1,low,100,10,0.037373737373737344,0.14937759336099585,72.0
50,13,high,3000,10,0.3314583333333332,0.038461538461538464,4.0
200,9,high,100,10,0.40227272727272706,0.09134615384615384,38.0
50,10,low,3000,20,0.03565972222222207,0.0,0.0
200,10,low,100,10,0.032929292929292905,0.03902439024390244,16.0
100,6,high,1000,20,0.4003673469387775,0.14912280701754385,34.0
100,13,low,1000,20,0.03169387755102053,0.0,0.0
50,9,low,3000,10,0.03390277777777769,0.017241379310344827,2.0
50,11,high,3000,20,0.28086111111111095,0.0,0.0
200,12,low,100,10,0.03459595959595957,0.07109004739336493,30.0
200,7,low,100,10,0.03828282828282826,0.03225806451612903,14.0
50,17,low,3000,20,0.033180555555555484,0.0,0.0
200,9,low,100,10,0.037272727272727256,0.02403846153846154,10.0
200,10,high,100,20,0.5995454545454549,0.22926829268292684,94.0
200,7,low,100,20,0.037474747474747445,0.041474654377880185,18.0
200,10,low,100,20,0.03186868686868685,0.0,0.0
200,11,low,100,20,0.03505050505050504,0.03365384615384615,14.0
200,12,low,100,20,0.03404040404040404,0.018957345971563982,8.0
50,1,high,1000,10,0.34068750000000003,0.2727272727272727,30.0
100,11,high,100,10,0.4303061224489793,0.6140350877192983,140.0
100,15,high,100,20,0.5874489795918367,0.37142857142857144,78.0
100,20,high,100,20,0.3933673469387757,0.2972972972972973,66.0
100,4,low,3000,10,0.03993877551020367,0.037037037037037035,8.0
200,19,low,100,20,0.03424242424242423,0.028037383177570093,12.0
100,1,low,3000,10,0.038098639455781895,0.10833333333333334,26.0
100,1,low,3000,20,0.03884013605442135,0.016666666666666666,4.0
200,1,high,100,10,0.5195959595959596,0.5477178423236515,264.0
200,2,low,3000,20,0.03449494949495032,0.013100436681222707,6.0
200,3,high,100,20,0.4465656565656561,0.23008849557522124,104.0
200,7,high,100,10,0.6664141414141411,0.31797235023041476,138.0
